molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL1933876,N#C/C(=C\c1cc(-c2ccccc2)cnc1Cl)c1nc2ccccc2[nH]1,inactive,100000.0
CHEMBL1933877,N#C/C(=C\c1c(Cl)ncnc1Cl)c1nc2ccccc2[nH]1,inactive,100000.0
CHEMBL1933878,Cc1c(/C=C(\C#N)c2nc3ccccc3[nH]2)sc2ccccc12,inactive,100000.0
CHEMBL1933879,N#C/C(=C\c1c[nH]c2ccc(Br)cc12)c1nc2ccccc2[nH]1,inactive,100000.0
CHEMBL1933880,N#C/C(=C\c1c[nH]c2cccc([N+](=O)[O-])c12)c1nc2ccccc2[nH]1,inactive,100000.0
CHEMBL1933881,N#C/C(=C\c1c[nH]c2c1ccc1ccccc12)c1nc2ccccc2[nH]1,inactive,100000.0
CHEMBL1933882,N#C/C(=C\c1ccc(-c2cccs2)s1)c1nc2ccccc2[nH]1,inactive,26000.0
CHEMBL118009,Cc1ccc(/C=C(\C#N)c2nc3ccccc3[nH]2)s1,inactive,100000.0
CHEMBL1933883,Cc1cc(/C=C(\C#N)c2nc3ccccc3[nH]2)sc1C,inactive,100000.0
CHEMBL116569,N#C/C(=C\c1cccs1)c1nc2ccccc2[nH]1,inactive,100000.0
CHEMBL1933884,N#C/C(=C\c1ccc(-c2ccco2)s1)c1nc2ccccc2[nH]1,inactive,59000.0
CHEMBL1933885,N#C/C(=C\c1ccc(-c2cccs2)o1)c1nc2ccccc2[nH]1,inactive,100000.0
CHEMBL1933886,N#C/C(=C\c1ccc(-c2cccs2)s1)c1cc2ccccc2[nH]1,inactive,100000.0
CHEMBL1933887,N#C/C(=C\c1ccc(-c2cccs2)s1)c1nc2ccccc2s1,inactive,100000.0
CHEMBL1933888,N#C/C(=C\c1ccc(-c2cccs2)s1)c1nc2ccccc2o1,inactive,100000.0
CHEMBL1933889,N#C/C(=C\c1ccc(-c2cccs2)s1)c1ccc2ccccc2n1,inactive,100000.0
CHEMBL1933890,Cn1c(/C(C#N)=C/c2ccc(-c3cccs3)s2)[n+](C)c2ccccc21.[I-],inactive,100000.0
CHEMBL1933865,COc1ccc(/C=C(\C#N)c2nc3ccccc3[nH]2)cc1I,inactive,10000.0
CHEMBL1933882,N#C/C(=C\c1ccc(-c2cccs2)s1)c1nc2ccccc2[nH]1,inactive,29000.0
CHEMBL1933882,N#C/C(=C\c1ccc(-c2cccs2)s1)c1nc2ccccc2[nH]1,inactive,17000.0
CHEMBL237370,O=C(/C=C/c1ccc(Cl)cc1Cl)NO,active,670.0
CHEMBL2032250,O=C(/C=C/c1ccc(Br)cc1Cl)NO,active,690.0
CHEMBL2032251,O=C(/C=C/c1ccccc1Cl)NO,inactive,13400.0
CHEMBL2032252,O=C(/C=C/c1ccc(-c2ccccc2)cc1Cl)NO,intermediate,1230.0
CHEMBL2032253,O=C(/C=C/c1ccc(-c2ccc(F)cc2)cc1Cl)NO,intermediate,9490.0
CHEMBL2032247,O=C(/C=C/c1ccc(-c2cccc(F)c2)cc1Cl)NO,inactive,31300.0
CHEMBL2032248,O=C(/C=C/c1ccc(-c2ccc(F)cc2F)cc1Cl)NO,active,980.0
CHEMBL2032249,O=C(/C=C/c1ccc(-c2cc(F)c(F)c(F)c2)cc1Cl)NO,active,640.0
CHEMBL2032254,Nc1ccccc1-c1ccc(/C=C/C(=O)NO)c(Cl)c1,active,550.0
CHEMBL2032255,COc1ccc(-c2ccc(/C=C/C(=O)NO)c(Cl)c2)cc1,inactive,32300.0
CHEMBL2032256,COc1cccc(-c2ccc(/C=C/C(=O)NO)c(Cl)c2)c1,inactive,24900.0
CHEMBL2032257,Cc1ccc(-c2ccc(/C=C/C(=O)NO)c(Cl)c2)cc1,inactive,60700.0
CHEMBL2032258,Cc1cccc(-c2ccc(/C=C/C(=O)NO)c(Cl)c2)c1,inactive,100000.0
CHEMBL2032259,O=C(/C=C/c1ccc(-c2cccc(C(F)(F)F)c2)cc1Cl)NO,inactive,38200.0
CHEMBL2032260,O=C(/C=C/c1ccc(-c2ccc(C(F)(F)F)cc2)cc1Cl)NO,inactive,35700.0
CHEMBL2032261,O=C(/C=C/c1ccc(-c2ccc3c(c2)OCO3)cc1Cl)NO,inactive,33100.0
CHEMBL2032262,CS(=O)(=O)c1ccc(-c2ccc(/C=C/C(=O)NO)c(Cl)c2)cc1,inactive,15400.0
CHEMBL2032263,O=C(/C=C/c1ccc(-c2ccc(S(=O)(=O)N3CCOCC3)cc2)cc1Cl)NO,inactive,100000.0
CHEMBL2032264,O=C(/C=C/c1ccc(/C=C/c2ccccc2)cc1Cl)NO,inactive,68400.0
CHEMBL2032265,CC(C)COc1ccc(/C=C/C(=O)NO)c(Cl)c1,inactive,42700.0
CHEMBL2032266,O=C(/C=C/c1ccc(N2CCCCC2)cc1Cl)NO,intermediate,1130.0
CHEMBL2032267,O=C(/C=C/c1ccc(N2CCOCC2)cc1Cl)NO,inactive,35000.0
CHEMBL2032268,O=C(/C=C/c1ccc(N2CCNCC2)cc1Cl)NO,inactive,100000.0
CHEMBL2032269,O=C(/C=C/c1ccc(-c2cccnc2)cc1Cl)NO,active,230.0
CHEMBL2032270,O=C(/C=C/c1ccc(-c2cncc(Cl)c2)cc1Cl)NO,inactive,27300.0
CHEMBL2032271,COc1cncc(-c2ccc(/C=C/C(=O)NO)c(Cl)c2)c1,inactive,35300.0
CHEMBL2032381,COc1ccc(-c2ccc(/C=C/C(=O)NO)c(Cl)c2)cn1,active,560.0
CHEMBL2032382,COc1cc(C)c(-c2ccc(/C=C/C(=O)NO)c(Cl)c2)cn1,active,750.0
CHEMBL2032383,COc1ncccc1-c1ccc(/C=C/C(=O)NO)c(Cl)c1,active,660.0
CHEMBL2032384,COc1ccc(-c2ccc(/C=C/C(=O)NO)c(Cl)c2)c(OC)n1,intermediate,8010.0
CHEMBL2032385,COc1ncc(-c2ccc(/C=C/C(=O)NO)c(Cl)c2)cc1Cl,inactive,100000.0
CHEMBL2032386,O=C(/C=C/c1ccc(-c2cnc3ccccc3c2)cc1Cl)NO,inactive,10000.0
CHEMBL2032387,O=C(/C=C/c1ccc(-c2ccncc2)cc1Cl)NO,active,610.0
CHEMBL2032388,O=C(/C=C/c1ccc(-c2cncnc2)cc1Cl)NO,intermediate,2790.0
CHEMBL2032389,COc1ncc(-c2ccc(/C=C/C(=O)NO)c(Cl)c2)cn1,intermediate,1210.0
CHEMBL2032390,CN(C)c1ccc(-c2ccc(/C=C/C(=O)NO)c(Cl)c2)cn1,inactive,73200.0
CHEMBL2032391,CNC(=O)c1ccc(-c2ccc(/C=C/C(=O)NO)c(Cl)c2)cn1,inactive,12300.0
CHEMBL2032392,CN1CCN(c2ccc(-c3ccc(/C=C/C(=O)NO)c(Cl)c3)cn2)CC1,inactive,21300.0
CHEMBL2032393,Cn1nccc1-c1ccc(/C=C/C(=O)NO)c(Cl)c1,intermediate,1320.0
CHEMBL2032394,Cn1cc(-c2ccc(/C=C/C(=O)NO)c(Cl)c2)cn1,inactive,24900.0
CHEMBL2032395,Cn1cncc1-c1ccc(/C=C/C(=O)NO)c(Cl)c1,inactive,22300.0
CHEMBL2032396,Cc1noc(C)c1-c1ccc(/C=C/C(=O)NO)c(Cl)c1,intermediate,1160.0
CHEMBL2032397,O=C(/C=C/c1ccc(-c2cn[nH]c2)cc1Cl)NO,inactive,66200.0
CHEMBL2032398,O=C(/C=C/c1ccc(-c2cc[nH]n2)cc1Cl)NO,intermediate,9110.0
CHEMBL1505471,COC(=O)c1ccc(O)c2nc3c(C=O)c(O)cc(O)c3nc12,inactive,50000.0
CHEMBL428647,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,intermediate,5200.0
CHEMBL2336718,O=C(CC12CC3CC(C1)CC(c1ccc(-c4ccccc4)cc1)(C3)C2)NO,active,200.0
CHEMBL2336717,O=C(CC12CC3CC(C1)CC(c1ccc([N+](=O)[O-])cc1[N+](=O)[O-])(C3)C2)NO,active,400.0
CHEMBL2336716,O=C(CC12CC3CC(C1)CC(c1ccc([N+](=O)[O-])cc1)(C3)C2)NO,active,500.0
CHEMBL2336715,O=C(CC12CC3CC(C1)CC(c1ccc(Br)cc1)(C3)C2)NO,active,40.0
CHEMBL2336714,O=C(CC12CC3CC(C1)CC(c1ccc(Cl)cc1)(C3)C2)NO,active,30.0
CHEMBL2336713,COc1ccc(C23CC4CC(CC(CC(=O)NO)(C4)C2)C3)cc1,active,250.0
CHEMBL2336712,Cc1ccc(C23CC4CC(CC(CC(=O)NO)(C4)C2)C3)cc1,active,250.0
CHEMBL2336711,O=C(CC12CC3CC(C1)CC(c1ccc4c(c1)CCCC4)(C3)C2)NO,active,1000.0
CHEMBL2336710,O=C(CC12CC3CC(C1)CC(c1ccc4ccccc4c1)(C3)C2)NO,active,300.0
CHEMBL2336709,O=C(CC12CC3CC(C1)CC(c1ccccc1)(C3)C2)NO,active,500.0
CHEMBL2336708,O=C(CC12CC3CC(CC(CO)(C3)C1)C2)NO,intermediate,3400.0
CHEMBL2336707,O=C(CC12CC3CC(C1)CC(C(=O)O)(C3)C2)NO,inactive,500000.0
CHEMBL2336727,O=C(CC12CC3CC(CC(Br)(C3)C1)C2)NO,intermediate,1400.0
CHEMBL2336726,O=C(CC12CC3CC(CC(Cl)(C3)C1)C2)NO,intermediate,1400.0
CHEMBL2336725,O=C(CC12CC3CC(CC(F)(C3)C1)C2)NO,intermediate,3100.0
CHEMBL2336724,CC(=O)OC12CC3CC(CC(CC(=O)NO)(C3)C1)C2,inactive,24000.0
CHEMBL2336723,COC12CC3CC(CC(CC(=O)NO)(C3)C1)C2,intermediate,5700.0
CHEMBL2336722,O=C(CC12CC3CC(CC(O)(C3)C1)C2)NO,inactive,23000.0
CHEMBL2336721,O=C(CC12CC3CC(CC(C3)C1)C2)NO,active,1000.0
CHEMBL42527,Clc1ccc2c(NCCCNCCCNc3ccnc4cc(Cl)ccc34)ccnc2c1,active,26.0
CHEMBL237370,O=C(/C=C/c1ccc(Cl)cc1Cl)NO,active,410.0
CHEMBL3098984,COc1ccccc1CNC(=O)Nc1ccc2nc(C)cc(N)c2c1,inactive,100000.0
CHEMBL3098983,Cc1cc(N)c2cc(NC(=O)NCc3ccccc3Cl)ccc2n1,inactive,100000.0
CHEMBL3098982,Cc1cc(N)c2cc(NC(=O)Nc3ccc(C(=O)c4ccccc4)cc3)ccc2n1,inactive,67000.0
CHEMBL3098981,Cc1cc(N)c2cc(NC(=O)Nc3ccc(C(C)C)cc3)ccc2n1,inactive,62000.0
CHEMBL3098980,Cc1cc(N)c2cc(NC(=O)Nc3ccc(F)cc3)ccc2n1,inactive,32000.0
CHEMBL3098979,CCOC(=O)c1ccc(NC(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1,inactive,51000.0
CHEMBL3098978,COc1ccc(NC(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1,inactive,41000.0
CHEMBL3098977,Cc1cc(N)c2cc(NC(=O)Nc3ccc(-c4ccccc4)cc3)ccc2n1,inactive,79000.0
